,name,location,edition,restaurant_url,address
93,Lower East Side 🍕 New York Style Pizza,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/lower-east-side-editions-chr?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Leeds Editions, Unit 3, Scott Halls Mills, Leeds, LS72HR"
94,Nomi Katsu 🇯🇵,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/nomi-katsu-editions-chr?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Unit 1, Scott Halls Mills, Leeds, LS72HR"
95,Poke Fuzion,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/poke-fuzion-editions-chr?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Unit 1, Scott Halls Mills, Leeds, LS72HR"
96,Twisted Kimchi,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/twisted-kimchi-editions-chr?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Unit 1, Scott Halls Mills, Leeds, LS72HR"
97,Pasta Evangelists ,Leeds,wortley,https://deliveroo.co.uk/menu/Leeds/wortley/pasta-evangelists-leeds?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Jacuna Kitchens, Wortley Moor Road, Leeds, LS124JF"
98,Awesome Chinese,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/awesome-chinese-editions-chr?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Unit 1,Scott Halls Mills, Leeds, Leeds, LS72HR"
99,Mr Miyagi Ramen & Udon 宫城手作拉面+乌冬,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/mr-miyagi-ramen-and-bao-editions-chr?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Unit 1, Scott Halls Mills, Leeds, LS72HT"
100,Sabor,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/sabor-editions-lee?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Unit 1, Scott Hall Mills, Scotthall Street, Leeds, LS72HT"
101,Bulked Loaded Fries,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/bulked-editions-lee?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Unit 1, Scott Hall Mills, Scotthall Street, Leeds, LS72HT"
102,The Athenian - Vegan Greek Kitchen,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/the-athenian-plant-based-editions-chr?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Unit 1, Scott Halls Mills, Leeds, LS72HR"
