,name,location,edition,restaurant_url,address
97,Mindful Chef,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/mindful-chef-editions-cre?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"21 Cranford Way London, London, N89DG"
98,Jude's Ice Cream,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/judes-ice-cream-editions-wme-new?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"10 Assembly Passage, London, E14UT"
99,Pho,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/pho-editions-cre?day=today&geohash=gcpvjrhmqd3y&time=1645,"Unit 21 Cranford Way, London, N89DG"
100,Motu Indian Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/motu-editions-wme?day=today&geohash=gcpvjrhmqd3y&time=1745,"16 Assembly Passage, London, E14UT"
101,Dishoom,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/dishoom-shoreditch?day=today&geohash=gcpvnffqn934&time=ASAP,"10 Assembly Passage, Whitechapel, London, E14UT"
102,🌴 Poke Shack 🌴,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/the-poke-shack-editions-act?day=today&geohash=gcpv4073pfnr&time=ASAP,"Unit 33, Acton Park Industrial Estate, London, W37QE"
103,Dishoom,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/dishoom-editions-act?day=today&geohash=gcpv4073pfnr&time=ASAP,"Unit 33, Acton Park Industrial Estate, London, W37QE"
104,Mindful Chef,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/mindful-chef-editions-act?day=today&geohash=gcpv4073pfnr&time=ASAP,"Unit 33, Acton Park Industrial Estate, London, W37QE"
105,Pizza Paradiso ,London,swiss-cottage,https://deliveroo.co.uk/menu/London/swiss-cottage/pizza-paradiso-new-college-parade?geohash=gcpvhp0bd462,"13 New College Parade, London, NW35EP"
106,Jude's Ice Cream,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/judes-ice-cream-editions-isl?geohash=gcpvhvg8xzt0,"Unit 4, 149 Roman Way, London, N78XH"
